store_id,state_id,cat_id,wm_yr_wk,weekly_units,week_start,n_days,month,year,week_of_year
CA_1,CA,FOODS,11417,18905,2014-05-24,7,5,2014,21
CA_1,CA,FOODS,11418,21420,2014-05-31,7,5,2014,22
CA_1,CA,FOODS,11419,23111,2014-06-07,7,6,2014,23
CA_1,CA,FOODS,11420,21318,2014-06-14,7,6,2014,24
CA_1,CA,FOODS,11421,20037,2014-06-21,7,6,2014,25
CA_1,CA,FOODS,11422,23320,2014-06-28,7,6,2014,26
CA_1,CA,FOODS,11423,23411,2014-07-05,7,7,2014,27
CA_1,CA,FOODS,11424,21824,2014-07-12,7,7,2014,28
CA_1,CA,FOODS,11425,21468,2014-07-19,7,7,2014,29
CA_1,CA,FOODS,11426,21716,2014-07-26,7,7,2014,30
CA_1,CA,FOODS,11427,24225,2014-08-02,7,8,2014,31
CA_1,CA,FOODS,11428,22692,2014-08-09,7,8,2014,32
CA_1,CA,FOODS,11429,22188,2014-08-16,7,8,2014,33
CA_1,CA,FOODS,11430,21489,2014-08-23,7,8,2014,34
CA_1,CA,FOODS,11431,22272,2014-08-30,7,8,2014,35
CA_1,CA,FOODS,11432,22877,2014-09-06,7,9,2014,36
CA_1,CA,FOODS,11433,20309,2014-09-13,7,9,2014,37
CA_1,CA,FOODS,11434,20649,2014-09-20,7,9,2014,38
CA_1,CA,FOODS,11435,22155,2014-09-27,7,9,2014,39
CA_1,CA,FOODS,11436,24234,2014-10-04,7,10,2014,40
CA_1,CA,FOODS,11437,20956,2014-10-11,7,10,2014,41
CA_1,CA,FOODS,11438,21124,2014-10-18,7,10,2014,42
CA_1,CA,FOODS,11439,20266,2014-10-25,7,10,2014,43
CA_1,CA,FOODS,11440,23170,2014-11-01,7,11,2014,44
CA_1,CA,FOODS,11441,21706,2014-11-08,7,11,2014,45
CA_1,CA,FOODS,11442,19955,2014-11-15,7,11,2014,46
CA_1,CA,FOODS,11443,21095,2014-11-22,7,11,2014,47
CA_1,CA,FOODS,11444,19231,2014-11-29,7,11,2014,48
CA_1,CA,FOODS,11445,20640,2014-12-06,7,12,2014,49
CA_1,CA,FOODS,11446,20194,2014-12-13,7,12,2014,50
CA_1,CA,FOODS,11447,19032,2014-12-20,7,12,2014,51
CA_1,CA,FOODS,11448,18935,2014-12-27,7,12,2014,52
CA_1,CA,FOODS,11449,21468,2015-01-03,7,1,2015,1
CA_1,CA,FOODS,11450,20464,2015-01-10,7,1,2015,2
CA_1,CA,FOODS,11451,19337,2015-01-17,7,1,2015,3
CA_1,CA,FOODS,11452,18697,2015-01-24,7,1,2015,4
CA_1,CA,FOODS,11501,21226,2015-01-31,7,1,2015,5
CA_1,CA,FOODS,11502,22842,2015-02-07,7,2,2015,6
CA_1,CA,FOODS,11503,18231,2015-02-14,7,2,2015,7
CA_1,CA,FOODS,11504,17254,2015-02-21,7,2,2015,8
CA_1,CA,FOODS,11505,20058,2015-02-28,7,2,2015,9
CA_1,CA,FOODS,11506,20179,2015-03-07,7,3,2015,10
CA_1,CA,FOODS,11507,18909,2015-03-14,7,3,2015,11
CA_1,CA,FOODS,11508,18895,2015-03-21,7,3,2015,12
CA_1,CA,FOODS,11509,22546,2015-03-28,7,3,2015,13
CA_1,CA,FOODS,11510,21503,2015-04-04,7,4,2015,14
CA_1,CA,FOODS,11511,20720,2015-04-11,7,4,2015,15
CA_1,CA,FOODS,11512,19900,2015-04-18,7,4,2015,16
CA_1,CA,FOODS,11513,21312,2015-04-25,7,4,2015,17
CA_1,CA,FOODS,11514,23272,2015-05-02,7,5,2015,18
CA_1,CA,FOODS,11515,21049,2015-05-09,7,5,2015,19
CA_1,CA,FOODS,11516,20178,2015-05-16,7,5,2015,20
CA_1,CA,FOODS,11517,19707,2015-05-23,7,5,2015,21
CA_1,CA,FOODS,11518,21742,2015-05-30,7,5,2015,22
CA_1,CA,FOODS,11519,22403,2015-06-06,7,6,2015,23
CA_1,CA,FOODS,11520,21543,2015-06-13,7,6,2015,24
CA_1,CA,FOODS,11521,20635,2015-06-20,7,6,2015,25
CA_1,CA,FOODS,11522,22598,2015-06-27,7,6,2015,26
CA_1,CA,FOODS,11523,21594,2015-07-04,7,7,2015,27
CA_1,CA,FOODS,11524,21052,2015-07-11,7,7,2015,28
CA_1,CA,FOODS,11525,19857,2015-07-18,7,7,2015,29
CA_1,CA,FOODS,11526,20248,2015-07-25,7,7,2015,30
CA_1,CA,FOODS,11527,23434,2015-08-01,7,8,2015,31
CA_1,CA,FOODS,11528,21741,2015-08-08,7,8,2015,32
CA_1,CA,FOODS,11529,20430,2015-08-15,7,8,2015,33
CA_1,CA,FOODS,11530,18891,2015-08-22,7,8,2015,34
CA_1,CA,FOODS,11531,20749,2015-08-29,7,8,2015,35
CA_1,CA,FOODS,11532,21872,2015-09-05,7,9,2015,36
CA_1,CA,FOODS,11533,20388,2015-09-12,7,9,2015,37
CA_1,CA,FOODS,11534,20654,2015-09-19,7,9,2015,38
CA_1,CA,FOODS,11535,20262,2015-09-26,7,9,2015,39
CA_1,CA,FOODS,11536,23426,2015-10-03,7,10,2015,40
CA_1,CA,FOODS,11537,21244,2015-10-10,7,10,2015,41
CA_1,CA,FOODS,11538,19548,2015-10-17,7,10,2015,42
CA_1,CA,FOODS,11539,19240,2015-10-24,7,10,2015,43
