wm_yr_wk,weekly_units,week_start,n_days,month,lag_1,lag_2,lag_4,lag_52,rolling_mean_4,rolling_std_4,rolling_mean_8,momentum,recent_cv,week_of_year,month_sin,month_cos,woy_sin,woy_cos,near_payday,time_index,national_events,other_events,snap_days,avg_price,price_rolling_4,price_relative,store_traffic_lag1,cat_share_lag1,cat_id_FOODS,cat_id_HOBBIES,cat_id_HOUSEHOLD,store_id_CA_1,store_id_CA_2,store_id_CA_3,store_id_CA_4,store_id_TX_1,store_id_TX_2,store_id_TX_3,store_id_WI_1,store_id_WI_2,store_id_WI_3,state_id_CA,state_id_TX,state_id_WI
11201,18577,2012-01-28,7,1,16835.0,17588.0,18445.0,17774.0,17963.0,946.5329717799953,18085.5,-753.0,0.05269347947336164,4,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,0,0.9965776865160849,0,0,3,3.266154708520179,3.260637352806345,0.00169210958375531,22905.0,0.7349923597467802,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11202,20608,2012-02-04,7,2,18577.0,16835.0,18984.0,18319.0,17996.0,970.9256751506107,18083.25,1742.0,0.053952304687186634,5,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1,1.0157426420260096,0,1,7,3.2610279329608938,3.2618454854718557,-0.00025064109094170416,25052.0,0.7415376017882804,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11203,19479,2012-02-11,7,2,20608.0,18577.0,17588.0,15515.0,18402.0,1634.5382630374045,18344.125,2031.0,0.08882394647524207,6,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,1.0349075975359343,0,1,0,3.254581939799331,3.2602042731739824,-0.0017245340793255242,26957.0,0.764476759283303,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11204,18049,2012-02-18,7,2,19479.0,20608.0,16835.0,14860.0,18874.75,1593.5817885087258,18219.375,-1129.0,0.08442929249440262,7,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,1.054072553045859,1,1,0,3.2644888888888888,3.2615633675423235,0.0008969690350581102,25782.0,0.7555271119385618,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11205,18582,2012-02-25,7,2,18049.0,19479.0,18577.0,15253.0,19178.25,1121.2110639839414,18570.625,-1430.0,0.058462636788233616,8,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,0,1.0732375085557837,0,1,2,3.267527716186253,3.2619066194588417,0.0017232549496906265,24465.0,0.7377478029838545,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11206,21586,2012-03-03,7,3,18582.0,18049.0,20608.0,17697.0,19179.5,1120.3197460249175,18587.75,533.0,0.05841235412940471,9,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1,1.0924024640657084,0,1,7,3.2737077426390404,3.265076571878378,0.002643481881864986,25484.0,0.7291633966410297,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11207,20018,2012-03-10,7,3,21586.0,18582.0,19479.0,15178.0,19424.0,1557.439993493597,18913.0,3004.0,0.0801812187754117,10,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0,1.111567419575633,0,0,1,3.28147311827957,3.271799366498438,0.0029567069057431007,28298.0,0.7628100925860485,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11208,18906,2012-03-17,7,3,20018.0,21586.0,18049.0,13924.0,19558.75,1586.824790790297,19216.75,-1568.0,0.0811311965637015,11,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,1,1.1307323750855578,0,1,0,3.281489817792069,3.276049598724233,0.0016606033895074502,27054.0,0.7399275523028018,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11209,19237,2012-03-24,7,3,18906.0,20018.0,18582.0,14812.0,19773.0,1356.1174973676393,19475.625,-1112.0,0.0685843067499944,12,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,0,1.1498973305954825,0,0,0,3.287916666666667,3.2811468363443366,0.002063251253294352,25525.0,0.7406856023506366,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11210,23371,2012-03-31,7,3,19237.0,18906.0,21586.0,17200.0,19936.75,1194.2532883214803,19558.125,331.0,0.059902104822575415,13,1.0,6.123233995736766e-17,1.0,-1.6081226496766364e-16,0,1.1690622861054072,0,0,6,3.285260361317747,3.284034991014013,0.00037312949072913196,26155.0,0.7354999044159817,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
