learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,best_iter,valid_MAE
0.1,31,-1,600,20,0.8,0.8,0.1,1.0,97,396.8105
0.1,31,-1,300,20,0.8,0.8,0.1,1.0,97,396.8105
0.1,31,-1,300,20,0.8,0.8,0.0,1.0,97,396.8107
0.1,31,-1,600,20,0.8,0.8,0.0,1.0,97,396.8107
0.03,31,5,300,20,0.8,0.8,0.1,1.0,234,398.9154
0.03,31,5,600,20,0.8,0.8,0.1,1.0,234,398.9154
0.03,31,5,300,20,0.8,0.8,0.0,1.0,234,398.9155
0.03,31,5,600,20,0.8,0.8,0.0,1.0,234,398.9155
0.03,31,-1,300,20,0.8,0.8,0.0,1.0,256,399.6144
0.03,31,-1,300,20,0.8,0.8,0.1,1.0,256,399.6144
0.03,31,-1,600,20,0.8,0.8,0.0,1.0,256,399.6144
0.03,31,-1,600,20,0.8,0.8,0.1,1.0,256,399.6144
0.03,31,8,600,20,0.8,0.8,0.1,1.0,301,400.2573
0.03,31,8,600,20,0.8,0.8,0.0,1.0,301,400.2574
0.03,31,8,300,20,0.8,0.8,0.0,1.0,300,400.2959
0.03,31,8,300,20,0.8,0.8,0.1,1.0,300,400.2959
0.05,31,5,300,20,0.8,0.8,0.1,1.0,188,401.4614
0.05,31,5,600,20,0.8,0.8,0.1,1.0,188,401.4614
0.05,31,5,600,20,0.8,0.8,0.0,1.0,188,401.4614
0.05,31,5,300,20,0.8,0.8,0.0,1.0,188,401.4614
0.05,63,-1,600,20,0.8,0.8,0.1,1.0,182,402.9929
0.05,63,-1,600,20,0.8,0.8,0.0,1.0,182,402.9929
0.05,63,-1,300,20,0.8,0.8,0.1,1.0,182,402.9929
0.05,63,-1,300,20,0.8,0.8,0.0,1.0,182,402.9929
0.05,31,-1,600,20,0.8,0.8,0.1,1.0,165,403.4928
0.05,31,-1,600,20,0.8,0.8,0.0,1.0,165,403.4928
0.05,31,-1,300,20,0.8,0.8,0.1,1.0,165,403.4928
0.05,31,-1,300,20,0.8,0.8,0.0,1.0,165,403.4928
0.03,63,5,300,20,0.8,0.8,0.0,1.0,224,404.984
0.03,63,5,300,20,0.8,0.8,0.1,1.0,224,404.984
0.03,63,5,600,20,0.8,0.8,0.1,1.0,224,404.984
0.03,127,5,600,20,0.8,0.8,0.1,1.0,224,404.984
0.03,127,5,600,20,0.8,0.8,0.0,1.0,224,404.984
0.03,63,5,600,20,0.8,0.8,0.0,1.0,224,404.984
0.03,127,5,300,20,0.8,0.8,0.1,1.0,224,404.984
0.03,127,5,300,20,0.8,0.8,0.0,1.0,224,404.984
0.05,127,5,600,20,0.8,0.8,0.1,1.0,181,405.0195
0.05,63,5,600,20,0.8,0.8,0.1,1.0,181,405.0195
0.05,63,5,300,20,0.8,0.8,0.1,1.0,181,405.0195
0.05,127,5,300,20,0.8,0.8,0.1,1.0,181,405.0195
0.05,63,5,300,20,0.8,0.8,0.0,1.0,181,405.0196
0.05,63,5,600,20,0.8,0.8,0.0,1.0,181,405.0196
0.05,127,5,300,20,0.8,0.8,0.0,1.0,181,405.0196
0.05,127,5,600,20,0.8,0.8,0.0,1.0,181,405.0196
