MAE,RMSE,MAPE,R2,store_id,cat_id
761.18,1033.79,3.385,0.1478,CA_1,FOODS
192.72,219.15,5.13,-0.372,CA_1,HOBBIES
224.43,252.0,3.239,-0.1362,CA_1,HOUSEHOLD
3439.19,3517.27,16.198,-16.9492,CA_2,FOODS
236.79,260.13,7.865,-3.5219,CA_2,HOBBIES
1190.92,1271.74,14.655,-13.7483,CA_2,HOUSEHOLD
661.74,829.2,2.416,0.3558,CA_3,FOODS
217.19,234.83,5.384,-0.4761,CA_3,HOBBIES
276.36,340.23,2.276,-0.3569,CA_3,HOUSEHOLD
623.81,751.96,4.883,-1.5386,CA_4,FOODS
92.71,114.89,3.49,0.2834,CA_4,HOBBIES
354.32,381.23,8.926,-6.4437,CA_4,HOUSEHOLD
607.74,758.68,4.019,-0.7684,TX_1,FOODS
94.69,114.19,4.589,-2.0862,TX_1,HOBBIES
333.21,455.0,5.063,-0.5526,TX_1,HOUSEHOLD
419.74,573.73,2.244,0.2219,TX_2,FOODS
180.27,208.89,6.428,-0.3307,TX_2,HOBBIES
359.48,440.17,5.39,-2.3404,TX_2,HOUSEHOLD
890.96,1173.24,4.68,0.1554,TX_3,FOODS
183.38,220.95,6.267,-2.8856,TX_3,HOBBIES
339.32,381.45,5.143,-0.1736,TX_3,HOUSEHOLD
1080.27,1261.17,5.526,-0.3667,WI_1,FOODS
123.87,169.61,4.085,-0.4082,WI_1,HOBBIES
140.25,172.88,2.567,-0.5423,WI_1,HOUSEHOLD
3102.81,3636.17,10.243,0.3251,WI_2,FOODS
130.68,155.29,6.182,-1.1166,WI_2,HOBBIES
196.13,243.28,2.484,0.7172,WI_2,HOUSEHOLD
694.78,884.78,3.26,0.7957,WI_3,FOODS
150.35,190.74,7.357,-1.2323,WI_3,HOBBIES
335.66,405.5,5.721,-0.8568,WI_3,HOUSEHOLD
