n_estimators,max_depth,min_samples_leaf,max_features,valid_MAE
300,20.0,1,0.5,455.2161
300,10.0,5,0.5,455.3415
300,,1,0.5,456.1093
500,10.0,5,0.5,456.9837
500,20.0,5,0.5,457.1008
300,10.0,1,0.5,457.2672
300,10.0,10,0.5,457.2926
300,20.0,5,0.5,457.6729
500,,5,0.5,457.8059
100,,1,0.5,457.8975
500,,1,0.5,458.0848
300,,5,0.5,458.3218
500,10.0,1,0.5,458.7294
500,10.0,10,0.5,459.7356
500,20.0,1,0.5,459.8622
500,20.0,10,0.5,461.3708
500,,10,0.5,461.3708
100,10.0,10,0.5,461.5069
300,20.0,10,0.5,461.8869
300,,10,0.5,461.8869
100,10.0,1,0.5,464.0881
100,,5,0.5,465.0897
100,20.0,5,0.5,465.3415
100,20.0,10,0.5,466.193
100,,10,0.5,466.193
100,20.0,1,0.5,466.49
100,10.0,5,0.5,470.812
300,,1,sqrt,477.0468
500,,1,sqrt,477.9216
300,20.0,1,sqrt,478.6456
100,,1,sqrt,478.9885
100,20.0,1,sqrt,479.9224
500,20.0,1,sqrt,481.2048
100,,5,sqrt,485.4659
100,20.0,5,sqrt,486.8506
500,10.0,1,sqrt,490.1436
500,,10,sqrt,492.0276
500,20.0,10,sqrt,492.0276
300,,5,sqrt,492.8456
500,,5,sqrt,492.8778
300,20.0,5,sqrt,493.5763
500,20.0,5,sqrt,493.6377
300,10.0,1,sqrt,493.9121
300,,10,sqrt,494.2034
300,20.0,10,sqrt,494.2034
100,,10,sqrt,495.3322
100,20.0,10,sqrt,495.3322
500,10.0,5,sqrt,498.2152
500,10.0,10,sqrt,498.5135
300,10.0,5,sqrt,499.5475
300,10.0,10,sqrt,499.8735
100,10.0,1,sqrt,499.9124
100,10.0,5,sqrt,505.8553
100,10.0,10,sqrt,516.3112
